setor;Interessado;Paginas;Data;Arquivo
SEFAZ - RECEITA;0000-2018#CAPITAL MORENA TRANSPORTE-EIRELI#CONCESSAO DE ISENÇAO DE ICMS#DIVERSOS;3;2026-07-10;
SEFAZ - RECEITA;0200-2018#J.J RABELO LTDA-ME#REFERENTE AO PROCESSO Nº 0148262015-4#INFORMAÇAO FISCAL;3;2026-07-10;
SEFAZ - RECEITA;017-2018#NUFES#MONITORAMENTO DE EMPRESAS PELO CANAL CINZA#MEMORANDO;2;2026-07-10;
SEFAZ - RECEITA;0000-2018#M.A PINHEIRO CASTRO-ME#FICHA DE INSCRIÇAO DO CONTRIBUINTE#DIVERSOS;16;2026-07-10;
SEFAZ - RECEITA;003-2018#SEFAZ-AP#REUNIAO PARA ORIENTAÇAO TECNICA#MEMORANDO;3;2026-07-10;
SEFAZ - RECEITA;04-2018#AFEAP#SOLICITAÇAO DE PARTICIPAÇAO DE EVENTO#OFICIO;15;2026-07-10;
SEFAZ - RECEITA;003-2018#SEFAZ-AP#ENCAMINHAR COPIAS DE PARECER E INFORMAÇAO FISCAL#MEMORANDO;17;2026-07-10;
SEFAZ - RECEITA;020-2018#SEFAZ-AP#ANALISE DE SITUAÇAO TRIBUTARIA#MEMORANDO;12;2026-07-10;
SEFAZ - RECEITA;011-2018#SEFAZ-AP#SOLICITA MANIFESTAÇAO QUANTO AOS IMPACTOS TRIBUTARIOS#MEMORANDO;4;2026-07-10;
SEFAZ - RECEITA;330-2018#GAB-AGENCIA AMAPA#PALESTRA SOBRE DESONERACAO#OFICIO;6;2026-07-10;
SEFAZ - RECEITA;002-2018#CRC-AP#ORIENTAÇÃO SOBRE ICMS-ST#DIVERSOS;3;2026-07-10;
SEFAZ - RECEITA;384-2018#GAB-SEFAZ#ENCAMINHAMENTO DE OFICIO Nº 0217-2018#OFICIO;5;2026-07-10;
SEFAZ - RECEITA;208-2017#COFIS-SET-RN#PEDIDO DE VERIFICAÇÃO FISCAL#OFICIO;9;2026-07-10;
SEFAZ - RECEITA;030-2009#FECOMERCIO#PEDIDO DE PRORROGAÇÃO DO DECRETO Nº 1738-2009#DIVERSOS;4;2026-07-10;
SEFAZ - RECEITA;0061872016-2#PROG-AP#OFICIO PARA SECRETARIO DA SEFAZ#PROCESSO;25;2026-07-10;
SEFAZ - RECEITA;1644-2017#GCG-SEFAZ#INFORMAÇÃO REF. OFICIO Nº 1220-2017#OFICIO;3;2026-07-10;
SEFAZ - RECEITA;0015102017-5#DOMESTILAR LTDA#REVISÃO DE FATURA#PROCESSO;27;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0083092014-5;262;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0057702014-5;216;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0083072014-6;218;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 28730005652-2014;215;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0022392014;210;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0022402014;184;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0056602014;209;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0078802014;221;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0078862014;279;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3199402025-3;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3228092025-5;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3231392025-9;13;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3230762025-7;13;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3458422025-5;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3456682025-4;15;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3491072025-1;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3491932025-6;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3493552025-6;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3491862025-6;21;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3492092025-3;15;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3490242025-2;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3491052025-2;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3692342025-3;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3660352025-7;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3658672025-7;14;2026-07-10;
